Altitude_ft,Mach,PowerSetting,Thrust_lbf,FuelFlow_pph
20000,1.6,AB2,16268.3,23910.9
20000,1.6,AB3,18020.1,31390.4
20000,1.6,AB4,19343.4,36854.4
20000,1.6,MAX,20292.3,41976.3
20000,1.8,IDLE,1491.9,1375.0
20000,1.8,MIL,10554.7,5190.0
20000,1.8,AB1,13708.0,16845.0
20000,1.8,AB2,16268.3,24534.7
20000,1.8,AB3,18020.1,32209.3
20000,1.8,AB4,19343.4,37815.8
20000,1.8,MAX,20292.3,43071.3
20000,2.0,IDLE,1491.9,1400.0
20000,2.0,MIL,10554.7,5239.0
20000,2.0,AB1,13708.0,17273.2
20000,2.0,AB2,16268.3,25158.4
20000,2.0,AB3,18020.1,33028.2
20000,2.0,AB4,19343.4,38777.3
20000,2.0,MAX,20292.3,44166.3
25000,0.0,IDLE,1254.9,1150.0
25000,0.0,MIL,9354.6,4378.3
25000,0.0,AB1,12361.5,12988.3
25000,0.0,AB2,14797.9,19082.0
25000,0.0,AB3,16476.7,25181.4
25000,0.0,AB4,17748.0,29667.1
25000,0.0,MAX,18618.6,33790.1
25000,0.2,IDLE,1258.3,1175.0
25000,0.2,MIL,9429.2,4413.3
25000,0.2,AB1,12460.1,13091.9
25000,0.2,AB2,14915.9,19234.1
25000,0.2,AB3,16608.1,25382.2
25000,0.2,AB4,17889.5,29903.7
25000,0.2,MAX,18767.1,34059.6
25000,0.4,IDLE,1272.2,1200.0
25000,0.4,MIL,9741.6,4559.5
25000,0.4,AB1,12872.9,13525.6
25000,0.4,AB2,15410.0,19871.3
25000,0.4,AB3,17158.3,26223.0
25000,0.4,AB4,18482.1,30894.4
25000,0.4,MAX,19388.8,35187.9
25000,0.6,IDLE,1278.8,1225.0
25000,0.6,MIL,9888.5,4628.2
25000,0.6,AB1,13067.1,13729.7
25000,0.6,AB2,15642.5,20171.1
25000,0.6,AB3,17417.1,26618.6
25000,0.6,AB4,18761.0,31360.4
25000,0.6,MAX,19681.3,35718.8
25000,0.8,IDLE,1246.9,1250.0
25000,0.8,MIL,9427.3,4456.5
25000,0.8,AB1,12457.6,13482.0
25000,0.8,AB2,14913.0,19807.2
25000,0.8,AB3,16604.8,26138.5
25000,0.8,AB4,17886.0,30794.7
25000,0.8,MAX,18763.4,35074.4
25000,1.0,IDLE,1155.3,1275.0
25000,1.0,MIL,8622.4,4116.3
25000,1.0,AB1,11393.9,12690.0
25000,1.0,AB2,13639.6,18643.6
25000,1.0,AB3,15187.0,24602.9
25000,1.0,AB4,16358.7,28985.6
25000,1.0,MAX,17161.2,33013.9
25000,1.2,IDLE,1237.8,1300.0
25000,1.2,MIL,9224.4,4446.9
25000,1.2,AB1,12189.4,13960.2
25000,1.2,AB2,14591.9,20509.8
25000,1.2,AB3,16247.4,27065.6
25000,1.2,AB4,17500.9,31887.0
25000,1.2,MAX,18359.4,36318.5
25000,1.4,IDLE,1254.7,1325.0
25000,1.4,MIL,9349.6,4551.0
25000,1.4,AB1,12354.9,14539.1
25000,1.4,AB2,14789.9,21360.3
25000,1.4,AB3,16467.8,28187.9
25000,1.4,AB4,17738.4,33209.3
25000,1.4,MAX,18608.6,37824.6
25000,1.6,IDLE,1254.7,1350.0
25000,1.6,MIL,9350.2,4595.1
25000,1.6,AB1,12355.7,14929.5
25000,1.6,AB2,14790.9,21933.8
25000,1.6,AB3,16468.9,28944.8
25000,1.6,AB4,17739.5,34101.0
25000,1.6,MAX,18609.8,38840.2
25000,1.8,IDLE,1254.7,1375.0
25000,1.8,MIL,9350.2,4638.8
25000,1.8,AB1,12355.7,15319.0
25000,1.8,AB2,14790.9,22506.0
25000,1.8,AB3,16468.9,29699.9
25000,1.8,AB4,17739.5,34990.6
25000,1.8,MAX,18609.8,39853.5
25000,2.0,IDLE,1254.7,1400.0
25000,2.0,MIL,9350.2,4682.6
25000,2.0,AB1,12355.7,15708.4
25000,2.0,AB2,14790.9,23078.2
25000,2.0,AB3,16468.9,30455.0
25000,2.0,AB4,17739.5,35880.2
25000,2.0,MAX,18609.8,40866.7
30000,0.0,IDLE,1047.7,1150.0
30000,0.0,MIL,8244.6,3888.7
30000,0.0,AB1,11093.1,11745.8
30000,0.0,AB2,13399.8,17412.9
30000,0.0,AB3,15001.0,23103.6
30000,0.0,AB4,16216.8,27317.6
30000,0.0,MAX,17012.3,31114.1
30000,0.2,IDLE,1050.5,1175.0
30000,0.2,MIL,8310.3,3919.7
